datetime,open,high,low,close,volume
2010-12-07,0.9894200000000000,0.99644,0.9821700000000000,0.98254,0
2010-12-08,0.98256,0.98545,0.97521,0.97954,0
2010-12-09,0.9796,0.98834,0.9775200000000000,0.9839,0
2010-12-10,0.9839400000000000,0.9896,0.98269,0.98513,0
2010-12-13,0.9837100000000000,0.99839,0.98324,0.99513,0
2010-12-14,0.99515,1.00271,0.9941400000000000,0.99854,0
2010-12-15,0.9984700000000000,0.9984700000000000,0.9839900000000000,0.98654,0
2010-12-16,0.9865700000000000,0.9905800000000000,0.9830400000000000,0.9892800000000000,0
2010-12-17,0.9895800000000000,0.9924800000000000,0.9839700000000000,0.9879600000000000,0
2010-12-20,0.98715,0.9948,0.98618,0.9929600000000000,0
2010-12-21,0.99285,0.9991900000000000,0.99167,0.99734,0
2010-12-22,0.99734,1.00094,0.9949400000000000,0.99936,0
2010-12-23,0.99936,1.00635,0.9985,1.00234,0
2010-12-24,1.0023600000000000,1.0050300000000000,1.00197,1.00442,0
2010-12-27,1.00165,1.0056400000000000,0.9986700000000000,1.00414,0
2010-12-28,1.0042800000000000,1.01515,1.00406,1.00919,0
2010-12-29,1.00915,1.01826,1.00874,1.0171,0
2010-12-30,1.01704,1.01966,1.0118,1.0164600000000000,0
2010-12-31,1.01636,1.02554,1.015,1.023,0
2011-01-03,1.0221800000000000,1.02229,1.01488,1.0157400000000000,0
2011-01-04,1.01581,1.01694,1.0028,1.00548,0
2011-01-05,1.0055,1.00745,0.99597,0.99925,0
2011-01-06,0.99926,1.00137,0.99272,0.99439,0
2011-01-07,0.99431,0.9991400000000000,0.9907,0.99556,0
2011-01-10,0.99451,0.9980900000000000,0.98824,0.99321,0
2011-01-11,0.99331,0.9948,0.98031,0.9817,0
2011-01-12,0.9817,0.99651,0.9809400000000000,0.99564,0
2011-01-13,0.99564,1.00191,0.9919900000000000,0.99869,0
2011-01-14,0.99865,0.9991700000000000,0.9855700000000000,0.98851,0
2011-01-17,0.9900900000000000,0.99669,0.98618,0.99293,0
2011-01-18,0.99292,1.00043,0.98966,0.9984,0
2011-01-19,0.9983800000000000,1.00759,0.99611,0.9975700000000000,0
2011-01-20,0.99756,0.99831,0.98316,0.98634,0
2011-01-21,0.98631,0.9917100000000000,0.9839,0.98961,0
2011-01-24,0.9885,1.00205,0.98624,0.9967600000000000,0
2011-01-25,0.9968600000000000,0.9992,0.98893,0.99597,0
2011-01-26,0.996,0.9997,0.99297,0.99771,0
2011-01-27,0.99771,0.9999600000000000,0.98765,0.9911,0
2011-01-28,0.9911400000000000,0.99851,0.9882800000000000,0.9938600000000000,0
2011-01-31,0.98913,0.99884,0.9865700000000000,0.99641,0
2011-02-01,0.99645,1.01476,0.9963700000000000,1.01041,0
2011-02-02,1.01043,1.0132300000000000,1.0055,1.0092,0
2011-02-03,1.00925,1.01614,1.00831,1.01504,0
2011-02-04,1.01506,1.01981,1.01105,1.01356,0
2011-02-07,1.01335,1.01603,1.01032,1.01315,0
2011-02-08,1.01335,1.01886,1.01135,1.01414,0
2011-02-09,1.01415,1.0150700000000000,1.00878,1.011,0
2011-02-10,1.011,1.0131700000000000,1.0004600000000000,1.00054,0
2011-02-11,1.0005600000000000,1.00312,0.9960400000000000,1.0019,0
2011-02-14,1.00105,1.00732,1.00023,1.00278,0
2011-02-15,1.00268,1.00566,0.9943,0.9966,0
2011-02-16,0.99649,1.00547,0.99641,1.00213,0
2011-02-17,1.0021,1.01285,1.0018,1.01086,0
2011-02-18,1.0108,1.01565,1.00882,1.0143800000000000,0
